name,url,ingredients
Martinez (with Old Tom gin),https://www.diffordsguide.com/cocktails/recipe/2489/martinez-with-old-tom-gin,"['Old Tom gin', 'Rosso/sweet vermouth', 'Maraschino liqueur', 'Dry vermouth', 'Aromatic bitters', 'Orange bitters', 'Saline solution 4:1']"
Negroni Spumante,https://www.diffordsguide.com/cocktails/recipe/2516/negroni-spumante,"['Rosso/sweet vermouth', 'Red bitter liqueur', 'Gin', 'Prosecco']"
Pyramid Punch,https://www.diffordsguide.com/cocktails/recipe/2553/pyramid-punch,"['Pisco', 'Elderflower liqueur', 'Pineapple juice', 'Pink grapefruit juice', 'Pimento dram']"
Reverse Martini,https://www.diffordsguide.com/cocktails/recipe/2560/reverse-martini,"['Dry vermouth', 'Gin']"
Rum Swizzle,https://www.diffordsguide.com/cocktails/recipe/2566/rum-swizzle,"['Aged rum (6-10yr)', 'Falernum liqueur', 'Lime juice', 'Lemon juice', 'Brown sugar syrup', 'Aromatic bitters']"
Smokey Joe,https://www.diffordsguide.com/cocktails/recipe/2581/smokey-joe,"['Sake', 'Cognac (brandy)', 'Peated whisk(e)y', 'Sauternes wine']"
The StiG,https://www.diffordsguide.com/cocktails/recipe/2586/the-stig,"['Calvados apple brandy', 'Pisco', 'Elderflower liqueur', 'Sauvignon blanc wine']"
Giblet (Tequila Gimlet),https://www.diffordsguide.com/cocktails/recipe/2592/giblet-tequila-gimlet,"['Blanco tequila', 'Mezcal', 'Lime cordial', 'Sugar syrup (2:1)', 'Lemon juice', 'Lime juice']"
Vesper Dry Martini,https://www.diffordsguide.com/cocktails/recipe/2597/vesper-dry-martini,"['Gin', 'Vodka', 'Blanc quinquina/kina', 'Aromatized wine']"
Daiquiri Elixir,https://www.diffordsguide.com/cocktails/recipe/2618/daiquiri-elixir,"['Light white rum', 'Lime juice', 'Sugar cane syrup', 'Chartreuse Green', 'Élixir Végétal', 'Chilled water']"
Froupe Cocktail,https://www.diffordsguide.com/cocktails/recipe/2661/froupe-cocktail,"['Cognac (brandy)', 'Rosso/sweet vermouth', 'Bénédictine D.O.M.', ""Boker's bitters""]"
Benton's Old Fashioned,https://www.diffordsguide.com/cocktails/recipe/2777/bentons-old-fashioned,"[' Bacon washed bourbon', 'Maple syrup', 'Aromatic bitters']"
Rude Gypsy,https://www.diffordsguide.com/cocktails/recipe/2844/rude-gypsy,"['Blanco tequila', 'Bénédictine D.O.M.', 'Margarita Bitters']"
Rum Old Fashioned,https://www.diffordsguide.com/cocktails/recipe/2845/rum-old-fashioned,"['Aged rum (6-10yr)', 'White overproof rum', 'Falernum liqueur', 'Sugar syrup (2:1)', 'Aromatic bitters']"
Scotch Sour,https://www.diffordsguide.com/cocktails/recipe/2848/scotch-sour,"['Scotch whisky', 'Lemon juice', 'Sugar syrup (2:1)', 'Egg white (pasteurised)']"
The Slope,https://www.diffordsguide.com/cocktails/recipe/2853/the-slope,"['Rye whiskey 50% abv', 'Vermouth amaro', 'Apricot liqueur', 'Aromatic bitters']"
Bobby Burns (Difford's own),https://www.diffordsguide.com/cocktails/recipe/4109/bobby-burns-diffords-own,"['Scotch whisky', 'Rosso/sweet vermouth', 'Bénédictine D.O.M.', 'Creole bitters', 'Absinthe']"
Cognac Julep,https://www.diffordsguide.com/cocktails/recipe/2916/cognac-julep,"['Mint leaves', 'Cognac (brandy)', 'Sugar syrup (2:1)']"
La Louisiane,https://www.diffordsguide.com/cocktails/recipe/2985/la-louisiane,"['Rye whiskey 50% abv', 'Rosso/sweet vermouth', 'Bénédictine D.O.M.', 'Absinthe', 'Creole bitters', 'Chilled water']"
Mizuwari,https://www.diffordsguide.com/cocktails/recipe/2991/mizuwari,"['Scotch whisky', 'Chilled water']"
La Perla,https://www.diffordsguide.com/cocktails/recipe/3006/la-perla,"['Reposado tequila', 'Manzanilla sherry', 'Pear liqueur']"
Preakness Manhattan,https://www.diffordsguide.com/cocktails/recipe/3011/preakness-manhattan,"['Bourbon whiskey', 'Cognac (brandy)', 'Bénédictine D.O.M.', 'Rosso/sweet vermouth', 'Aromatic bitters']"
Perfect Summit Manhattan,https://www.diffordsguide.com/cocktails/recipe/3064/perfect-summit-manhattan,"['Bourbon whiskey', 'Dry vermouth', 'Muscat wine', 'Orange Curaçao', 'Barrel-aged bitters']"
Well Oiled Mai Tai,https://www.diffordsguide.com/cocktails/recipe/3093/well-oiled-mai-tai,"['Aged rum (6-10yr)', 'Falernum liqueur', 'Orgeat syrup', 'Lime juice', 'Aromatic bitters']"
Dry Martini (7:1 ratio) Embury's,https://www.diffordsguide.com/cocktails/recipe/3114/dry-martini-71-ratio-emburys,"['Gin', 'Dry vermouth', 'Orange bittersoptional']"
Gin Salad Dry Martini,https://www.diffordsguide.com/cocktails/recipe/3117/gin-salad-dry-martini,"['Gin', 'Dry vermouth', 'Orange bittersoptional']"
Malty Dry Martini,https://www.diffordsguide.com/cocktails/recipe/3118/malty-dry-martini,"['Oude genever', 'Dry vermouth', ""Abbott's bitters""]"
Hi Falutin,https://www.diffordsguide.com/cocktails/recipe/3240/hi-falutin,"['Bourbon whiskey', 'Swedish Punsch', 'Byrrh']"
Portobello Star Manhattan (Perfect),https://www.diffordsguide.com/cocktails/recipe/3242/portobello-star-manhattan-perfect,"['Rye whiskey 50% abv', 'Dry vermouth', 'Vermouth alla vaniglia', ""Abbott's bitters""]"
Brown Derby,https://www.diffordsguide.com/cocktails/recipe/3246/brown-derby,"['Bourbon whiskey', 'Pink grapefruit juice', 'Maple syrup']"
Special Brew Martini,https://www.diffordsguide.com/cocktails/recipe/3449/special-brew-martini,"['Vodka', 'Byrrh', 'Sake', 'Absinthe']"
General Harrison's Nogg,https://www.diffordsguide.com/cocktails/recipe/3280/general-harrisons-nogg,"['Calvados apple brandy', 'Dry cider', 'Sugar syrup (2:1)', 'Pimento bitters', 'Egg (white & yolk)']"
